GAME ID,DATE TIME,TIME,Location,Home Team,Road Team,Home Score,Road Score,Result,Home Team Logo,Road Team Logo
1018,3/13/2019,9:30 PM,Toyota Center,Houston Rockets,Golden State Warriors,,,,https://www.nba.com/assets/logos/teams/primary/web/HOU.svg,https://www.nba.com/assets/logos/teams/primary/web/GSW.svg
1019,3/13/2019,10:00 PM,Talking Stick Resort Arena,Phoenix Suns,Utah Jazz,,,,https://www.nba.com/assets/logos/teams/primary/web/PHX.svg,https://www.nba.com/assets/logos/teams/primary/web/UTA.svg
1020,3/14/2019,7:00 PM,Bankers Life Fieldhouse,Indiana Pacers,Oklahoma City Thunder,,,,https://www.nba.com/assets/logos/teams/primary/web/IND.svg,https://www.nba.com/assets/logos/teams/primary/web/OKC.svg
1021,3/14/2019,7:00 PM,Amway Center,Orlando Magic,Cleveland Cavaliers,,,,https://www.nba.com/assets/logos/teams/primary/web/ORL.svg,https://www.nba.com/assets/logos/teams/primary/web/CLE.svg
1022,3/14/2019,7:30 PM,TD Garden,Boston Celtics,Sacramento Kings,,,,https://www.nba.com/assets/logos/teams/primary/web/BOS.svg,https://www.nba.com/assets/logos/teams/primary/web/SAC.svg
1023,3/14/2019,8:00 PM,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,,,,https://www.nba.com/assets/logos/teams/primary/web/TOR.svg,https://www.nba.com/assets/logos/teams/primary/web/LAL.svg
1024,3/14/2019,9:00 PM,Vivint Smart Home Arena,Utah Jazz,Minnesota Timberwolves,,,,https://www.nba.com/assets/logos/teams/primary/web/UTA.svg,https://www.nba.com/assets/logos/teams/primary/web/MIN.svg
1025,3/14/2019,10:30 PM,Pepsi Center,Denver Nuggets,Dallas Mavericks,,,,https://www.nba.com/assets/logos/teams/primary/web/DEN.svg,https://www.nba.com/assets/logos/teams/primary/web/DAL.svg
1026,3/15/2019,7:00 PM,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,,,,https://www.nba.com/assets/logos/teams/primary/web/DET.svg,https://www.nba.com/assets/logos/teams/primary/web/LAL.svg
1027,3/15/2019,7:00 PM,Wells Fargo Center,Philadelphia 76ers,Sacramento Kings,,,,https://www.nba.com/assets/logos/teams/primary/web/PHI.svg,https://www.nba.com/assets/logos/teams/primary/web/SAC.svg
1028,3/15/2019,7:00 PM,Capital One Arena,Washington Wizards,Charlotte Hornets,,,,https://www.nba.com/assets/logos/teams/primary/web/WAS.svg,https://www.nba.com/assets/logos/teams/primary/web/CHA.svg
1029,3/15/2019,8:00 PM,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,,,,https://www.nba.com/assets/logos/teams/primary/web/MIA.svg,https://www.nba.com/assets/logos/teams/primary/web/MIL.svg
1030,3/15/2019,8:00 PM,Toyota Center,Houston Rockets,Phoenix Suns,,,,https://www.nba.com/assets/logos/teams/primary/web/HOU.svg,https://www.nba.com/assets/logos/teams/primary/web/PHX.svg
1031,3/15/2019,8:00 PM,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,,,,https://www.nba.com/assets/logos/teams/primary/web/NOP.svg,https://www.nba.com/assets/logos/teams/primary/web/POR.svg
1032,3/15/2019,8:30 PM,AT+ACY-T Center,San Antonio Spurs,New York Knicks,,,,https://www.nba.com/assets/logos/teams/primary/web/SAS.svg,https://www.nba.com/assets/logos/teams/primary/web/NYK.svg
1033,3/15/2019,10:30 PM,Staples Center,LA Clippers,Chicago Bulls,,,,https://www.nba.com/assets/logos/teams/primary/web/LAC.svg,https://www.nba.com/assets/logos/teams/primary/web/CHI.svg
1034,3/16/2019,12:30 PM,TD Garden,Boston Celtics,Atlanta Hawks,,,,https://www.nba.com/assets/logos/teams/primary/web/BOS.svg,https://www.nba.com/assets/logos/teams/primary/web/ATL.svg
1035,3/16/2019,7:00 PM,Capital One Arena,Washington Wizards,Memphis Grizzlies,,,,https://www.nba.com/assets/logos/teams/primary/web/WAS.svg,https://www.nba.com/assets/logos/teams/primary/web/MEM.svg
1036,3/16/2019,7:00 PM,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,,,,https://www.nba.com/assets/logos/teams/primary/web/NOP.svg,https://www.nba.com/assets/logos/teams/primary/web/PHX.svg
1037,3/16/2019,8:30 PM,American Airlines Center,Dallas Mavericks,Cleveland Cavaliers,,,,https://www.nba.com/assets/logos/teams/primary/web/DAL.svg,https://www.nba.com/assets/logos/teams/primary/web/CLE.svg
1038,3/16/2019,8:30 PM,Chesapeake Energy Arena,Oklahoma City Thunder,Golden State Warriors,,,,https://www.nba.com/assets/logos/teams/primary/web/OKC.svg,https://www.nba.com/assets/logos/teams/primary/web/GSW.svg
1039,3/16/2019,8:30 PM,AT+ACY-T Center,San Antonio Spurs,Portland Trail Blazers,,,,https://www.nba.com/assets/logos/teams/primary/web/SAS.svg,https://www.nba.com/assets/logos/teams/primary/web/POR.svg
1040,3/16/2019,9:00 PM,Pepsi Center,Denver Nuggets,Indiana Pacers,,,,https://www.nba.com/assets/logos/teams/primary/web/DEN.svg,https://www.nba.com/assets/logos/teams/primary/web/IND.svg
1041,3/16/2019,9:00 PM,Vivint Smart Home Arena,Utah Jazz,Brooklyn Nets,,,,https://www.nba.com/assets/logos/teams/primary/web/UTA.svg,https://www.nba.com/assets/logos/teams/primary/web/BKN.svg
1042,3/17/2019,12:00 PM,Madison Square Garden,New York Knicks,Los Angeles Lakers,,,,https://www.nba.com/assets/logos/teams/primary/web/NYK.svg,https://www.nba.com/assets/logos/teams/primary/web/LAL.svg
1043,3/17/2019,1:00 PM,AmericanAirlines Arena,Miami Heat,Charlotte Hornets,,,,https://www.nba.com/assets/logos/teams/primary/web/MIA.svg,https://www.nba.com/assets/logos/teams/primary/web/CHA.svg
